,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
41,"Salem, OR",139547.0,146551.0,148347.0,147365.0,157113.0,153646.0,152979.0,155284.0,159143.0,159598.0,162651.0,164546.0,167891.0,171954.0,171489.0,169432.0,176466.0,176006.0,175177.0
42,"Salt Lake City, UT",178150.0,176444.0,185991.0,181312.0,180430.0,183544.0,186878.0,186838.0,188124.0,187905.0,189833.0,191377.0,197452.0,197008.0,198599.0,197218.0,198609.0,202772.0,207084.0
43,"San Antonio, TX",1183543.0,1253335.0,1266172.0,1271196.0,1351145.0,1317529.0,1340808.0,1364336.0,1388407.0,1414802.0,1447595.0,1471966.0,1492627.0,1515386.0,1529674.0,1511229.0,1433641.0,1453646.0,1477259.0
44,"San Diego, CA",1190025.0,1243700.0,1257570.0,1250413.0,1288210.0,1295704.0,1310878.0,1321386.0,1335614.0,1365479.0,1376623.0,1389118.0,1402029.0,1408140.0,1407702.0,1397865.0,1368948.0,1368914.0,1373641.0
45,"San Francisco, CA",710551.0,734587.0,755251.0,798874.0,807125.0,798993.0,805064.0,817921.0,830556.0,843712.0,855672.0,861068.0,874611.0,875048.0,873649.0,866648.0,806418.0,801078.0,801259.0
46,"San Jose, CA",872650.0,902466.0,908720.0,902213.0,948954.0,934417.0,955346.0,972018.0,983044.0,1004512.0,1012982.0,1014616.0,1023548.0,1018995.0,1011082.0,1019123.0,974581.0,962855.0,959239.0
47,"Seattle, WA",529917.0,555858.0,570377.0,575008.0,609717.0,603362.0,612350.0,626942.0,645335.0,662250.0,678243.0,697460.0,716870.0,737289.0,747296.0,734270.0,727859.0,744270.0,747884.0
48,"Spokane, WA",190767.0,194616.0,207129.0,204059.0,200137.0,206199.0,207068.0,206385.0,208138.0,209731.0,210548.0,213212.0,213857.0,216151.0,219252.0,216315.0,226745.0,228647.0,226436.0
49,"St. Louis, MO",329226.0,340513.0,344631.0,348593.0,350730.0,314944.0,315140.0,313294.0,314352.0,312971.0,311939.0,307891.0,304610.0,298150.0,296364.0,300892.0,289484.0,283002.0,278251.0
50,"Stockton, CA",272645.0,278524.0,290239.0,269970.0,283818.0,288107.0,292400.0,291841.0,293715.0,297355.0,302221.0,301825.0,306563.0,307285.0,309078.0,307217.0,317458.0,318120.0,315727.0
51,"Tampa, FL",307714.0,317885.0,330581.0,335669.0,339272.0,332528.0,342044.0,343415.0,349242.0,354259.0,365484.0,373426.0,381097.0,388361.0,394908.0,391419.0,382531.0,395748.0,399334.0
52,"Toledo, OH",281376.0,286747.0,279102.0,279293.0,312443.0,282778.0,282111.0,280858.0,278799.0,276998.0,275771.0,274630.0,272804.0,271368.0,266881.0,271330.0,264474.0,262753.0,262966.0
53,"Tucson, AZ",497334.0,508439.0,513037.0,530510.0,533931.0,515978.0,519863.0,517937.0,519722.0,521331.0,523461.0,523743.0,529237.0,539262.0,543386.0,539697.0,535526.0,540672.0,541472.0
54,"Tulsa, OK",365149.0,375773.0,384454.0,383487.0,383104.0,388405.0,390146.0,388349.0,392521.0,394069.0,396815.0,398007.0,396452.0,396675.0,396163.0,397188.0,406721.0,407633.0,405937.0
55,"Washington, DC",505886.0,572680.0,579800.0,584439.0,592109.0,596747.0,611608.0,624847.0,636535.0,648586.0,663006.0,672022.0,684810.0,693798.0,697556.0,693253.0,661026.0,660942.0,670127.0
56,"Wichita, KS",347984.0,351349.0,355266.0,358047.0,364108.0,378148.0,379792.0,380372.0,380784.0,382385.0,383590.0,385045.0,385843.0,382995.0,384278.0,385454.0,390384.0,393547.0,392189.0
