Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type,Date
"Albuquerque, NM","Seattle, WA","$2,820.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Tampa, FL","$2,455.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tampa, FL","$2,584.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tampa, FL","$3,618.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tampa, FL","$5,168.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Tucson, AZ",$659.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tucson, AZ",$695.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tucson, AZ",$867.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tucson, AZ","$1,041.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Tulsa, OK",$990.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tulsa, OK","$1,042.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tulsa, OK","$1,250.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Tulsa, OK","$1,563.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Washington, DC","$2,230.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Washington, DC","$2,348.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Washington, DC","$2,817.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Washington, DC","$3,522.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Wichita, KS",$766.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Wichita, KS",$806.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Wichita, KS",$968.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Wichita, KS","$1,210.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Albuquerque, NM","$1,536.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Albuquerque, NM","$1,617.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Albuquerque, NM","$1,778.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Albuquerque, NM","$2,020.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Austin, TX","$1,192.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Austin, TX","$1,256.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Austin, TX","$1,382.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Austin, TX","$1,569.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Baltimore, MD","$1,093.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Baltimore, MD","$1,150.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Baltimore, MD","$1,438.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Baltimore, MD","$1,725.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
