,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
74,"Garden Grove, CA",52229.0,59149.0,59981.0,60245.0,58790.0,60974.0,55508.0,55481.0,58631.0,58234.0,58123.0
75,"Garland, TX",45924.0,50682.0,48558.0,51255.0,49504.0,52114.0,50198.0,49652.0,45848.0,53675.0,55725.0
76,"Gilbert town, AZ",76171.0,76376.0,79976.0,82726.0,74957.0,77866.0,71207.0,79916.0,81589.0,84153.0,86045.0
77,"Glendale, AZ",46713.0,48455.0,49493.0,54063.0,50035.0,45699.0,48079.0,45765.0,41037.0,46453.0,45812.0
78,"Glendale, CA",49750.0,51308.0,51719.0,56095.0,50804.0,51923.0,47647.0,51897.0,50172.0,51020.0,58076.0
79,"Grand Prairie, TX",48865.0,50181.0,46955.0,51012.0,49542.0,50030.0,49929.0,55908.0,55290.0,57455.0,60838.0
80,"Grand Rapids, MI",38229.0,34692.0,38272.0,40120.0,37625.0,36128.0,36408.0,38643.0,41669.0,39056.0,41857.0
81,"Greensboro, NC",36733.0,37947.0,40211.0,41393.0,38694.0,39622.0,39637.0,39336.0,41150.0,41181.0,44934.0
82,"Hampton, VA",45105.0,47636.0,46571.0,47039.0,46440.0,51275.0,49848.0,47472.0,43785.0,47312.0,51867.0
83,"Hartford, CT",26032.0,29293.0,27654.0,28790.0,28300.0,26499.0,29169.0,27753.0,27417.0,28826.0,34240.0
84,"Hayward, CA",55649.0,54258.0,60771.0,61880.0,61752.0,59890.0,56332.0,60586.0,59269.0,66757.0,74723.0
85,"Henderson, NV",61483.0,63814.0,67617.0,65757.0,64431.0,61861.0,60453.0,61404.0,60819.0,62592.0,64035.0
86,"Hialeah, FL",30271.0,30325.0,32560.0,31400.0,29596.0,29296.0,27208.0,28878.0,27371.0,29165.0,29095.0
87,"Hollywood, FL",41602.0,44883.0,43897.0,46031.0,45554.0,41188.0,42494.0,44105.0,44582.0,45268.0,46091.0
88,"Houston, TX",36894.0,39682.0,40856.0,44315.0,42945.0,42355.0,42877.0,42847.0,45353.0,45460.0,48064.0
89,"Huntington Beach, CA",72141.0,75896.0,81112.0,86528.0,76527.0,72469.0,75336.0,80020.0,82948.0,84915.0,85778.0
90,"Huntsville, AL",44000.0,46193.0,44534.0,46014.0,48786.0,44419.0,45018.0,47818.0,48199.0,49476.0,46769.0
91,"Independence, MO",41398.0,40960.0,39769.0,44213.0,45082.0,40895.0,41487.0,44049.0,42298.0,44769.0,42229.0
92,"INpolis (balance), IN",41578.0,41520.0,44325.0,43652.0,40278.0,38502.0,39015.0,40854.0,41361.0,42370.0,41278.0
93,"Inglewood, CA",34962.0,40188.0,40525.0,44377.0,44249.0,40761.0,37999.0,41649.0,41254.0,42592.0,42122.0
94,"Irvine, CA",82827.0,84270.0,98923.0,94895.0,84950.0,85615.0,87484.0,96278.0,87830.0,90743.0,93781.0
95,"Irving, TX",46543.0,44740.0,45337.0,45711.0,45879.0,46526.0,47266.0,50987.0,51722.0,48042.0,56846.0
96,"Jackson, MS",31177.0,31587.0,32982.0,31977.0,31875.0,34699.0,31370.0,30219.0,29811.0,34039.0,32482.0
97,"Jacksonville, FL",44173.0,45285.0,48699.0,50476.0,46312.0,45584.0,44802.0,42800.0,47424.0,44591.0,48239.0
98,"Jersey City, NJ",40310.0,43426.0,51830.0,56079.0,57166.0,52950.0,56843.0,56794.0,54700.0,60497.0,59485.0
99,"Joliet, IL",56175.0,59319.0,54864.0,61061.0,53675.0,54642.0,56993.0,61269.0,59019.0,60894.0,58363.0
100,"KS City, KS",33157.0,35777.0,36211.0,36691.0,34652.0,36677.0,37036.0,35876.0,37789.0,35724.0,41255.0
101,"KS City, Missouri",41069.0,40920.0,42123.0,45824.0,41999.0,42780.0,43810.0,41877.0,45551.0,44173.0,50259.0
102,"Knoxville, TN",30473.0,30239.0,34185.0,31988.0,31898.0,29903.0,33726.0,32191.0,35254.0,31048.0,37200.0
103,"Lafayette, LA",39158.0,44304.0,40630.0,45099.0,44977.0,44204.0,41546.0,40396.0,47784.0,47521.0,47830.0
104,"Lakewood, CO",50234.0,49467.0,52499.0,51539.0,54238.0,51937.0,53210.0,53967.0,55792.0,54063.0,60984.0
105,"Lancaster, CA",44277.0,42252.0,49641.0,52596.0,48237.0,50492.0,47198.0,46380.0,45616.0,45130.0,49729.0
106,"Lansing, MI",34367.0,34066.0,36550.0,38101.0,35774.0,34770.0,31975.0,33514.0,33356.0,36567.0,37426.0
107,"Laredo, TX",32019.0,34233.0,34464.0,37031.0,38567.0,35997.0,36665.0,36970.0,40599.0,39501.0,40660.0
108,"Las Vegas, NV",47863.0,53000.0,54357.0,53097.0,50935.0,50783.0,46995.0,47415.0,49289.0,50291.0,49676.0
109,"Lincoln, NE",45790.0,45982.0,47358.0,50504.0,44702.0,47526.0,46670.0,48070.0,49419.0,50241.0,51503.0
110,"Little Rock, AR",39882.0,44586.0,43289.0,41826.0,38992.0,44415.0,40976.0,45951.0,44546.0,45999.0,44251.0
111,"Long Beach, CA",43746.0,45906.0,48290.0,50975.0,51379.0,51426.0,51214.0,47837.0,52116.0,54511.0,54971.0
112,"Los Angeles, CA",42667.0,44445.0,47781.0,48882.0,48617.0,47031.0,46148.0,46803.0,48466.0,50544.0,52024.0
113,"Lubbock, TX",33853.0,36326.0,40810.0,43178.0,38602.0,40712.0,43364.0,39911.0,45728.0,44167.0,45551.0
114,"Madison, WI",45928.0,50171.0,50991.0,53516.0,49595.0,50508.0,53363.0,51180.0,49546.0,55829.0,57690.0
115,"Manchester, NH",50404.0,55314.0,50199.0,49721.0,48720.0,53858.0,51082.0,54644.0,51248.0,53082.0,54596.0
116,"McAllen, TX",35004.0,37310.0,39727.0,36235.0,34984.0,41018.0,35348.0,46072.0,38223.0,48929.0,45186.0
117,"Memphis, TN",33244.0,32594.0,35143.0,37207.0,34203.0,37045.0,34960.0,33563.0,36722.0,34704.0,36908.0
118,"Mesa, AZ",44861.0,47810.0,49778.0,51433.0,49446.0,44747.0,44527.0,47256.0,47561.0,47675.0,49177.0
119,"Mesquite, TX",47466.0,50134.0,52816.0,52228.0,50057.0,46183.0,46983.0,47408.0,46423.0,51936.0,47518.0
120,"Metairie, LA",43044.0,46757.0,54441.0,47969.0,52625.0,46399.0,49051.0,49747.0,52545.0,50749.0,53715.0
121,"Miami, FL",25211.0,27088.0,29075.0,28333.0,28999.0,27291.0,28536.0,28301.0,31070.0,31917.0,29989.0
122,"Midland, TX",41660.0,44828.0,50757.0,59695.0,54113.0,52258.0,55497.0,61602.0,69530.0,79904.0,80700.0
123,"Milwaukee, WI",32666.0,33990.0,35281.0,37331.0,34868.0,32911.0,33122.0,34042.0,35186.0,35049.0,37495.0
124,"Minneapolis, MN",41829.0,43369.0,44423.0,48724.0,45538.0,46508.0,46682.0,47604.0,50563.0,50791.0,54571.0
125,"Miramar, FL",57941.0,61361.0,72155.0,61594.0,58807.0,61474.0,60851.0,64907.0,55846.0,67921.0,70133.0
126,"Mobile, AL",31107.0,37439.0,35093.0,36676.0,35068.0,37438.0,40153.0,35238.0,36150.0,37082.0,38678.0
127,"Modesto, CA",45769.0,49413.0,47470.0,53003.0,46316.0,47983.0,41863.0,45267.0,46329.0,52186.0,51901.0
128,"Montgomery, AL",40582.0,40775.0,39997.0,42691.0,40568.0,41380.0,43233.0,40536.0,43103.0,41889.0,41836.0
129,"Moreno Valley, CA",56111.0,52426.0,55613.0,56042.0,55344.0,48907.0,53018.0,50880.0,52625.0,54054.0,56025.0
130,"Naperville, IL",93338.0,97077.0,96548.0,101894.0,98488.0,98816.0,110131.0,109533.0,105882.0,104419.0,105848.0
131,"New Haven, CT",30603.0,36428.0,39409.0,40314.0,38279.0,35122.0,33526.0,36530.0,36196.0,37534.0,36641.0
132,"New Orleans, LA",30711.0,35859.0,38614.0,37751.0,36468.0,37726.0,35041.0,34361.0,36631.0,35504.0,39077.0
133,"NY, NY",43434.0,46480.0,48631.0,51116.0,50033.0,48743.0,49461.0,50895.0,52223.0,52996.0,55752.0
134,"Newark, NJ",30665.0,34521.0,34452.0,35296.0,35963.0,32043.0,31731.0,31293.0,32973.0,35947.0,30966.0
135,"Newport News, VA",46641.0,44226.0,45359.0,49664.0,49554.0,50937.0,48976.0,47476.0,49184.0,49602.0,48630.0
136,"Norfolk, VA",36920.0,40230.0,40701.0,40416.0,42741.0,41613.0,43108.0,42644.0,44030.0,43186.0,45996.0
137,"North Las Vegas, NV",53183.0,57242.0,58795.0,60875.0,55682.0,52263.0,50006.0,49586.0,50133.0,51992.0,53952.0
138,"Norwalk, CA",51137.0,59448.0,55209.0,60607.0,58202.0,57149.0,54411.0,59476.0,58973.0,63787.0,58957.0
139,"Oakland, CA",44124.0,45552.0,46475.0,48699.0,51473.0,49190.0,50500.0,48196.0,54394.0,56188.0,58807.0
140,"Oceanside, CA",55382.0,58995.0,64992.0,61725.0,59395.0,62422.0,55620.0,59640.0,48375.0,57186.0,60720.0
141,"OK City, OK",37375.0,39024.0,41899.0,43821.0,41411.0,44043.0,42995.0,43352.0,46232.0,49119.0,50739.0
142,"Olathe, KS",66230.0,70728.0,69366.0,77505.0,75009.0,69687.0,72449.0,76836.0,75304.0,77008.0,80242.0
143,"Omaha, NE",40484.0,42321.0,45170.0,44358.0,46595.0,43813.0,45536.0,45159.0,47512.0,48410.0,51407.0
144,"Ontario, CA",46344.0,56688.0,57104.0,53896.0,53224.0,53764.0,49713.0,52014.0,51230.0,52225.0,57361.0
145,"Orange, CA",69695.0,67915.0,75024.0,78366.0,76787.0,72784.0,70523.0,74117.0,76630.0,75803.0,83429.0
146,"Orlando, FL",36699.0,42036.0,43761.0,43127.0,39881.0,38098.0,40275.0,41695.0,41345.0,41081.0,44804.0
147,"Overland Park, KS",64804.0,68404.0,70513.0,72319.0,68519.0,69490.0,66544.0,70289.0,69759.0,73441.0,81144.0
148,"Oxnard, CA",48952.0,57907.0,53298.0,60670.0,51221.0,61316.0,58090.0,57351.0,60693.0,59515.0,59830.0
149,"Palmdale, CA",46536.0,57861.0,55499.0,54313.0,52352.0,53048.0,50394.0,48169.0,55153.0,57035.0,52014.0
150,"Paradise, NV",41916.0,44563.0,50376.0,50578.0,47599.0,46199.0,40665.0,42404.0,45201.0,44740.0,41646.0
151,"Pasadena, CA",51233.0,59301.0,66465.0,57796.0,61298.0,67047.0,72265.0,65423.0,68172.0,70873.0,77312.0
152,"Pasadena, TX",37642.0,39008.0,52252.0,43804.0,40770.0,41280.0,46623.0,44930.0,46157.0,48894.0,50236.0
153,"Paterson, NJ",34987.0,31723.0,34067.0,35494.0,29637.0,32068.0,32419.0,32416.0,30733.0,35689.0,31552.0
154,"Pembroke Pines, FL",55847.0,60740.0,65486.0,59881.0,59426.0,61163.0,54766.0,58149.0,63357.0,61495.0,62404.0
155,"Peoria, AZ",60417.0,65898.0,62458.0,63662.0,61619.0,53848.0,64864.0,61880.0,59377.0,66371.0,66308.0
156,"Peoria, IL",40276.0,41494.0,42931.0,44446.0,44893.0,48913.0,41541.0,40929.0,42189.0,49840.0,49121.0
