,Dropoff Location,Year,TruckingCost
296,"Jacksonville, FL",2016,2190.32748
297,"Jacksonville, FL",2017,2311.00668
298,"Jacksonville, FL",2018,2464.87266
299,"Jacksonville, FL",2019,2367.32364
300,"Jacksonville, FL",2020,2184.29352
301,"Jacksonville, FL",2021,2398.4990999999995
302,"Jacksonville, FL",2022,2419.61796
303,"Jacksonville, FL",2023,2299.94442
304,"Memphis, TN",2005,1945.5227
305,"Memphis, TN",2006,2012.7714749999998
306,"Memphis, TN",2007,1968.9815749999998
307,"Memphis, TN",2008,1764.1073999999999
308,"Memphis, TN",2009,1445.8486625
309,"Memphis, TN",2010,1613.1886375000001
310,"Memphis, TN",2011,1735.1747874999999
311,"Memphis, TN",2012,1755.5058125
312,"Memphis, TN",2013,1738.3026375
313,"Memphis, TN",2014,1803.9874874999998
314,"Memphis, TN",2015,1735.1747874999999
315,"Memphis, TN",2016,1703.114325
316,"Memphis, TN",2017,1796.949825
317,"Memphis, TN",2018,1916.5900875
318,"Memphis, TN",2019,1840.739725
319,"Memphis, TN",2020,1698.42255
320,"Memphis, TN",2021,1864.9805624999997
321,"Memphis, TN",2022,1881.401775
322,"Memphis, TN",2023,1788.3482374999999
323,"Milwaukee, WI",2005,2170.4027213114755
324,"Milwaukee, WI",2006,2245.424680327869
325,"Milwaukee, WI",2007,2196.573172131147
326,"Milwaukee, WI",2008,1968.017901639344
327,"Milwaukee, WI",2009,1612.972118852459
328,"Milwaukee, WI",2010,1799.654668032787
329,"Milwaukee, WI",2011,1935.7410122950819
330,"Milwaukee, WI",2012,1958.422069672131
331,"Milwaukee, WI",2013,1939.2304057377048
332,"Milwaukee, WI",2014,2012.5076680327868
333,"Milwaukee, WI",2015,1935.7410122950819
334,"Milwaukee, WI",2016,1899.9747295081966
335,"Milwaukee, WI",2017,2004.6565327868852
336,"Milwaukee, WI",2018,2138.125831967213
337,"Milwaukee, WI",2019,2053.5080409836064
338,"Milwaukee, WI",2020,1894.7406393442623
339,"Milwaukee, WI",2021,2080.550840163934
340,"Milwaukee, WI",2022,2098.870155737705
341,"Milwaukee, WI",2023,1995.060700819672
342,"Minneapolis, MN",2005,2437.9892713178297
343,"Minneapolis, MN",2006,2522.260604651163
344,"Minneapolis, MN",2007,2467.3862480620155
345,"Minneapolis, MN",2008,2210.6526511627903
346,"Minneapolis, MN",2009,1811.8336666666667
347,"Minneapolis, MN",2010,2021.532100775194
348,"Minneapolis, MN",2011,2174.3963798449613
349,"Minneapolis, MN",2012,2199.8737596899227
350,"Minneapolis, MN",2013,2178.315976744186
351,"Minneapolis, MN",2014,2260.627511627907
352,"Minneapolis, MN",2015,2174.3963798449613
353,"Minneapolis, MN",2016,2134.220511627907
354,"Minneapolis, MN",2017,2251.8084186046513
355,"Minneapolis, MN",2018,2401.733
356,"Minneapolis, MN",2019,2306.6827751937985
357,"Minneapolis, MN",2020,2128.34111627907
358,"Minneapolis, MN",2021,2337.0596511627905
359,"Minneapolis, MN",2022,2357.637534883721
360,"Minneapolis, MN",2023,2241.0295271317827
361,"Omaha, NE",2005,2081.6941705426357
362,"Omaha, NE",2006,2153.649837209302
363,"Omaha, NE",2007,2106.7949844961236
364,"Omaha, NE",2008,1887.5812093023253
365,"Omaha, NE",2009,1547.0468333333333
366,"Omaha, NE",2010,1726.0993062015505
367,"Omaha, NE",2011,1856.6235387596896
368,"Omaha, NE",2012,1878.3775775193799
369,"Omaha, NE",2013,1859.9703139534881
370,"Omaha, NE",2014,1930.2525930232557
371,"Omaha, NE",2015,1856.6235387596896
372,"Omaha, NE",2016,1822.3190930232556
373,"Omaha, NE",2017,1922.7223488372092
374,"Omaha, NE",2018,2050.7365
375,"Omaha, NE",2019,1969.5772015503876
376,"Omaha, NE",2020,1817.2989302325582
377,"Omaha, NE",2021,1995.5147093023254
378,"Omaha, NE",2022,2013.0852790697675
379,"Omaha, NE",2023,1913.5187170542633
380,"Orlando, FL",2005,2804.014875
381,"Orlando, FL",2006,2900.93821875
382,"Orlando, FL",2007,2837.82534375
383,"Orlando, FL",2008,2542.5472499999996
384,"Orlando, FL",2009,2083.851890625
385,"Orlando, FL",2010,2325.033234375
386,"Orlando, FL",2011,2500.847671875
387,"Orlando, FL",2012,2530.150078125
388,"Orlando, FL",2013,2505.355734375
389,"Orlando, FL",2014,2600.025046875
390,"Orlando, FL",2015,2500.847671875
391,"Orlando, FL",2016,2454.64003125
392,"Orlando, FL",2017,2589.88190625
393,"Orlando, FL",2018,2762.315296875
394,"Orlando, FL",2019,2652.99478125
395,"Orlando, FL",2020,2447.8779375000004
396,"Orlando, FL",2021,2687.9322656249997
397,"Orlando, FL",2022,2711.59959375
398,"Orlando, FL",2023,2577.484734375
399,"Philadelphia, PA",2005,2400.9291470588237
400,"Philadelphia, PA",2006,2483.919463235294
401,"Philadelphia, PA",2007,2429.8792573529413
402,"Philadelphia, PA",2008,2177.048294117647
403,"Philadelphia, PA",2009,1784.2917977941177
404,"Philadelphia, PA",2010,1990.8025845588238
405,"Philadelphia, PA",2011,2141.343158088235
406,"Philadelphia, PA",2012,2166.433253676471
407,"Philadelphia, PA",2013,2145.2031727941176
408,"Philadelphia, PA",2014,2226.263481617647
409,"Philadelphia, PA",2015,2141.343158088235
410,"Philadelphia, PA",2016,2101.778007352941
411,"Philadelphia, PA",2017,2217.578448529412
412,"Philadelphia, PA",2018,2365.224011029412
413,"Philadelphia, PA",2019,2271.618654411765
414,"Philadelphia, PA",2020,2095.987985294118
415,"Philadelphia, PA",2021,2301.5337683823527
416,"Philadelphia, PA",2022,2321.7988455882355
417,"Philadelphia, PA",2023,2206.963408088235
418,"Phoenix, AZ",2005,2462.8372727272726
419,"Phoenix, AZ",2006,2547.9674999999997
420,"Phoenix, AZ",2007,2492.5338636363635
421,"Phoenix, AZ",2008,2233.183636363636
422,"Phoenix, AZ",2009,1830.2998863636362
423,"Phoenix, AZ",2010,2042.1355681818184
424,"Phoenix, AZ",2011,2196.557840909091
425,"Phoenix, AZ",2012,2222.2948863636366
426,"Phoenix, AZ",2013,2200.5173863636364
427,"Phoenix, AZ",2014,2283.667840909091
428,"Phoenix, AZ",2015,2196.557840909091
429,"Phoenix, AZ",2016,2155.9725
430,"Phoenix, AZ",2017,2274.7588636363635
431,"Phoenix, AZ",2018,2426.2114772727273
432,"Phoenix, AZ",2019,2330.1925
433,"Phoenix, AZ",2020,2150.033181818182
