9,"Cleveland, OH",142794.30341856062,147024.69465790427,146576.0271516403,141066.64237848984,132698.2568341987,127238.53764698212,121999.9120144517,114934.09312925005,116848.59524957114,120420.79595328272,122229.45417021187,129020.99815370748,135205.6769590097,143099.8757487449,151770.23703150952,158633.0301826382,158633.0301826382,175914.72687550168,192276.0474034386,208352.25864533137
10,"Columbus, OH",151478.69934290147,155521.10143931536,156101.63251752252,153107.76332206366,147981.7388946769,142587.86764826058,139393.7546367691,132484.88465393518,132411.504985481,141271.85217544483,150138.9399140556,161965.99778682695,170510.58298027198,183409.6894246525,196914.00150653665,211028.62713210555,211028.62713210555,237170.1240754339,264411.52223077073,290552.7736975663
11,"Corpus Christi, TX",114849.29958323536,124837.79000167288,132956.81521187126,138015.30485509144,131955.4866294834,129025.08095376471,125239.67237892006,124603.29143894692,125846.0386073248,130319.24875897616,141221.79073184633,154355.8703902166,161624.00224731132,164358.35993522848,167047.92758631796,179035.5547109182,179035.5547109182,188695.98672329937,209976.48101797132,218536.03031984935
12,"Dallas, TX",147163.84587114662,149820.39788059596,154261.6063523976,155765.40549700812,147353.90758311856,148283.67509073712,143571.88462096194,139809.6763727025,147788.35519213064,160270.77072587577,173311.49441490797,193933.77516171607,215245.09155339052,235773.77774116964,248806.43489435455,256428.11474585932,256428.11474585932,278270.6963993058,336270.38532127097,373400.7963861176
13,"Denver, CO",245011.19290703657,249682.28754727912,248671.77703864072,242442.36521017065,231580.69922562377,230834.65984005656,225020.1061753463,219535.37503587035,238259.9342856819,262831.12445746,289884.0986462157,331333.3092116159,363470.1547151034,390851.76891386294,412908.9527092842,430030.9021098276,430030.9021098276,470150.346357534,552332.308562345,574911.8827129143
14,"Detroit, MI",158142.2409558042,160898.7723456178,156493.58509545875,142995.965980355,114234.16492058447,92301.67594776278,86113.85001588821,81653.55451241764,90971.77383745524,112667.682723883,124581.9464033254,135984.23382349047,147535.80686826946,161265.1100719019,173066.4659405049,182591.49917094523,182591.49917094523,200423.77712358863,221986.04734357947,234553.53960394647
15,"El Paso, TX",107505.49712611442,115509.69422895325,131852.6337933897,140341.04899118617,132443.32162358038,130218.27329080574,128165.8841537536,126416.7614321453,122309.67435131015,122314.75872668713,123008.72877273864,126069.6525755718,130055.5700230442,132687.10725643366,136162.2630017964,140541.50775250795,140541.50775250795,154432.79513750668,177583.13640808675,200768.8336961638
16,"Fresno, CA",228079.66618520385,287424.36469069635,296337.3960943374,260443.99746274645,190998.15137686496,167148.7521075285,157379.2453650726,139435.15089448102,155806.25710606948,182425.196863447,195926.52620601663,210832.440369562,224378.6061962031,244866.38728596515,262831.7699674411,274401.92761354183,274401.92761354183,302549.94894135685,356820.36387882585,375936.163529122
17,"Greensboro, NC",124967.04228585892,129571.609815841,133732.17148894048,136221.73619732764,133113.13614311803,127457.08599097062,123482.3914013588,117303.4478510173,119844.78613050918,124286.2709688925,126940.02843971044,132146.92891316445,139380.48947216474,147264.1982565093,157713.52581020826,168889.04071318172,168889.04071318172,189967.55215641644,214592.9006142846,237465.6888461212
18,"Houston, TX",143523.2431130552,146047.592639357,151635.5557539553,154600.25496091752,148187.32834115092,148902.5873713802,144841.17759128017,139720.48754546625,143032.54845129888,157609.78979035394,175697.4260447675,191126.25207404708,199072.09663204223,206115.74061035115,215484.6398860272,223002.45352033072,223002.45352033072,238583.86576102977,278777.5074004789,305667.6787102315
